group;team;code
A;Qatar;QAT
A;Ecuador;ECU
A;Senegal;SEN
A;Netherlands;NED
B;England;ENG
B;Iran;IRN
B;USA;USA
B;Wales;WAL
C;Argentina;ARG
C;Saudi Arabia;KSA
C;Mexiko;MEX
C;Poland;POL
D;France;FRA
D;Australia;AUS
D;Denmark;DEN
D;Tunisia;TUN
E;Spain;ESP
E;Costa Rica;CRC
E;Germany;GER
E;Japan;JPN
F;Belgium;BEL
F;Canada;CAN
F;Morocco;MAR
F;Croatia;CRO
G;Brazil;BRA
G;Serbia;SRB
G;Switzerland;SUI
G;Cameroon;CMR
H;Portugal;POR
H;Ghana;GHA
H;Uruguay;URU
H;South Korea;KOR
